word,details,definition,grammaticalClass,stage
miser,"misera, miserum","miserable, wretched, sad",adj 1+2,15
mitto,"mittere, misi, missus",send,verb 3,12
modus,"modi, m.","manner, way, kind",noun 2,23
mons,"montis, m.",mountain,noun 3,12
morior,"mori, mortuus sum ",die,verb 3,34
mors,"mortis, f.",death,noun 3,20
mox,indecl.,soon,adv,9
"multo, multum",indecl.,much,adv,0
multus,"multa, multum","much, many",adj 1+2,5
murus,"muri, m.",wall,noun 2,11
nam,indecl.,for,conj,18
narro,"narrare, narravi, narratus","tell, relate",verb 1,7
nauta,"nautae, m.",sailor,noun 1,15
navigo,"navigare, navigavi",sail,verb 1,16
navis,"navis, f.",ship,noun 3,3
ne,indecl.,"that ... not, so that ... not",conj,31
-ne,indecl.,?,partic (introduces question),0
"nec … nec, neque … neque ",indecl.,neither ... nor …,conj,32
necesse,indecl.,necessary,adj ,14
neco,"necare, necavi, necatus",kill,verb 1,7
nemo,neminis,"no one, nobody",noun irreg,18
nescio,"nescire, nescivi",not know,verb 4,25
nihil,indecl.,nothing,noun irreg,7
nolo,"nolle, nolui",not want,verb irreg,13
nomen,"nominis, n.",name,noun 3,25
non,indecl.,not,adv,3
nonne?,indecl.,surely?,adv,16
nos,nostrum,"we, us",pron,10
noster,"nostra, nostrum",our,pron,11
novem,indecl.,nine,adj (numerical indecl.),20
novus,"nova, novum",new,adj 1+2,13
nox,"noctis, f.",night,noun 3,22
nullus,"nulla, nullum","not any, no",adj 1+2,13
num,indecl.,whether,partic,26
num ... ?,indecl.,surely not?,partic,14
numquam,indecl.,never,adv,17
nunc,indecl.,now,adv,11
nuntio,"nuntiare, nuntiavi, nuntiatus","announce, report",verb 1,10
nuntius,"nuntii, m.","messenger, message, news",noun 2,8
occido,"occidere, occidi, occisus",kill,verb 3,28
octo,indecl.,eight,adj (numerical indecl.),20
offero,"offerre, obtuli, oblatus",offer,verb irreg,9
olim,indecl.,"once, some time ago",adv,6
omnis,omne,"all, every",adj 3,7
oppugno,"oppugnare, oppugnavi, oppugnatus",attack,verb 1,24
